Actual,Predicted
82008.03748379787,139188.59479818077
129629.51372455858,137330.47894229443
141616.22742499082,153535.02125257673
125408.34326045754,182909.50886056328
150093.84152135468,161849.26676238657
117643.60513461808,138433.3191698428
207678.0766170977,159621.06709315768
201764.38459821232,182225.90032324527
163842.0141040312,169113.4415971391
154238.54598359647,158556.9252259404
165458.9311454734,145736.88310918552
183442.7284406309,136226.72742291668
154750.7632359577,135987.85795991786
61974.65380658777,148784.94465464872
194215.6275011371,152327.45807443856
140701.02661874203,149672.7011784979
185026.7728609264,172699.81426770543
180855.8511836058,149980.25504458052
163241.38501139948,146112.79916002764
201257.6324539685,173919.99403132327
163032.27056609385,148389.3294715985
90903.18592283096,149225.15319443934
150501.57030989276,174861.18402733485
116402.3407525249,127871.36255923743
190475.0024852521,144758.6161190457
159906.6029859916,133660.6506004919
207156.10852494647,194355.87137359972
214788.3636973779,207440.9512912868
89044.74632188978,146268.4046506903
142812.7149895663,141432.9852899718
191683.0507159171,156207.45164991135
176307.9237834724,158450.91257121786
174886.99564926204,213006.46624730775
114927.50016165146,170432.71667707496
173686.92692962568,135759.5383506195
108724.34312815368,143261.74027615823
191444.71662663727,185728.3177418803
163433.0610486746,154185.901754721
184053.8373174416,210251.8129574499
141031.1317734706,136451.66206806726
170448.47360336964,140451.3903354981
170719.97974004867,203813.2395820331
125992.0839115339,154971.56450677902
203629.74859882903,180951.83081786204
117478.42554691972,164150.56623717025
199063.72255818069,188074.67398097875
190658.7372234013,175014.77220819745
205247.8061976364,174373.3618692748
120149.51917657354,148493.85821676807
189313.9176505661,152503.73785168317
176035.49383609963,140397.40441703808
130944.40546545996,146662.3075934389
127233.2706769447,154691.92129372485
169843.11613219275,180075.95840107565
214118.9254358537,159160.98848917286
214695.9992212196,178720.2735251963
36334.78678655282,130470.50536674267
168216.12639663555,156340.76929690526
59109.44627790061,135548.84786075173
106843.82219443197,149137.16858026688
144095.2741278875,133161.26952397396
180076.832343844,189394.74414057608
167026.77097950768,140765.96370752007
103346.02027785088,128184.6787131842
165914.80872808408,146103.6735397225
179979.82884298568,184343.91756277904
215530.19129840969,166658.8539518352
26839.47027727192,138766.60367480727
160639.50375792707,158109.0899278609
102520.05520295983,151713.19135709427
151869.81554701357,139455.9490352498
93800.94483243112,135094.52844043836
107082.87357678029,136579.3900370092
144501.07450533306,161204.2929590965
126944.48251068252,158898.78501504124
146497.150899211,139081.45824782155
175405.71792896825,162495.4971339038
215014.2583434192,200988.76342116197
165899.424685998,146070.52092258498
130373.92094158597,142601.5132528278
208218.72349432865,198529.62985396286
102988.08539178486,153063.3054787838
167602.83143943906,168917.22122519187
105168.94935373787,145798.7597067892
172933.77203910236,140666.98779119592
169036.23528779836,176900.0393136317
163609.2605750485,147430.8572241465
173737.50066926767,196383.9092626121
84686.94568799992,131644.29162745978
155870.68091443687,164417.40594572207
205392.8676518417,175597.74757634493
172769.11055641578,140397.34620580229
194509.8627733732,173634.57370461218
177491.668295541,161758.4202677984
204227.2670475604,179798.31509101362
191431.8093341486,174719.11878292973
213543.89083442773,194942.89678930974
199245.6012747689,204518.54288661512
177638.71846966265,137718.49059035495
163211.64359048643,150119.6205320002
92006.25185998272,126684.13149547616
175498.31943951783,143008.94629966782
120479.56980055422,135698.08006180107
182680.91448065132,165171.33107057872
149577.76966348413,162818.28629468236
184930.66456137656,171880.342195802
154771.37845256797,164906.78879976337
213078.5138738614,155406.46337426564
172135.94373345986,166222.1073278464
207066.9825076525,183047.7498024982
143845.41884837835,162900.52711255
167003.3485083678,136057.39527836948
124244.13025581805,141228.6077206743
183069.72347284845,181452.58170189388
164293.62470429,138932.2831849521
196999.4149991658,188265.949342645
135451.354324915,152033.84850386405
112211.76818300702,147212.1613032479
133312.89501958858,138247.32879225948
135641.6595320693,146900.59173233237
175735.08563095218,153238.17244319877
128124.43907017524,129218.36888863397
194656.06764582623,159382.8791786373
136685.72072803116,147164.5446284642
156360.53363103856,194949.82961551362
188001.30638383343,175669.60723105774
170845.4654580582,160204.85823092907
204144.68266084,151171.30873558644
213976.85964899743,213242.0292940463
54660.810392610656,149599.92734066717
158049.4922419528,146404.4015913474
150133.1112867595,159903.40912145295
210408.60143951315,197728.90847205312
183575.72917692625,150761.4865429973
197257.71946353227,156191.32669045177
152459.87409533892,173862.68071474432
131928.82064318392,147659.68847531464
156957.41013983602,160923.48667812283
206422.4770281507,159583.02449379017
135056.53872067342,132359.29157383705
146784.67889553995,177959.84712927986
